#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2012 05 26 02 50 232 16.0 19.6  2.98  9.09  6.13 148 1007.1  23.9  25.5  21.0 99.0 99.00
2012 05 26 03 50 231 14.3 17.2  3.18  8.33  6.04 162 1007.8  24.0  25.5  21.0 99.0 99.00
2012 05 26 04 50 227 13.9 17.7  3.49  7.69  6.28 307 1007.8  23.7  25.4  21.4 99.0 99.00
2012 05 26 05 50 217 13.3 16.2  3.23  9.09  6.02 139 1007.8  23.2  25.6  21.2 99.0 99.00
2012 05 26 06 50 212 12.9 15.4  2.82  9.09  5.76 144 1007.5  23.5  25.7  21.5 99.0 99.00
2012 05 26 07 50 188  9.0 10.4  2.62  9.09  5.71 165 1008.2  23.0  25.7  22.1 99.0 99.00
2012 05 26 08 50 188 12.0 14.0  2.63  9.09  6.04 130 1007.5  25.0  25.8  22.6 99.0 99.00
2012 05 26 09 50 173 11.8 14.4  2.42  9.09  5.69 148 1008.2  25.1  25.8  22.9 99.0 99.00
2012 05 26 10 50 163 10.4 12.6  2.60  8.33  5.75 163 1008.9  25.1  25.8  22.8 99.0 99.00
2012 05 26 11 50 185 11.5 13.6  2.50  8.33  5.77 163 1009.7  23.4  25.8  22.0 99.0 99.00
2012 05 26 12 50 171 12.2 14.6  2.47  8.33  5.47 166 1010.3  24.1  25.7  20.6 99.0 99.00
2012 05 26 13 50 169 13.1 16.5  2.42  7.69  5.44 159 1010.5  25.4  25.7  20.7 99.0 99.00
2012 05 26 14 50 145 11.1 12.9  2.55  8.33  5.66 142 1010.9  25.8  25.7  20.7 99.0 99.00
2012 05 26 15 50 123 11.8 14.0  2.43  8.33  5.69 144 1010.8  25.6  25.7  22.9 99.0 99.00
2012 05 26 16 50 153 10.5 15.9  2.37  7.69  5.46 159 1011.5  24.7  25.7  22.6 99.0 99.00
2012 05 26 17 50 146 11.0 13.2  2.50  7.69  5.44 165 1011.7  25.3  25.7  23.2 99.0 99.00
2012 05 26 18 50 125 11.5 13.3  2.59  7.14  5.69 150 1011.6  25.3  25.6  23.2 99.0 99.00
2012 05 26 19 50 123 11.8 13.9  2.46  8.33  5.69 150 1011.7  25.2  25.6  23.4 99.0 99.00
2012 05 26 20 50 125 11.3 13.6  2.51  7.14  5.53 181 1011.7  25.1  25.6  23.4 99.0 99.00
2012 05 26 21 50 125 12.8 15.6  2.42  7.14  5.45 178 1011.8  25.1  25.6  23.4 99.0 99.00
2012 05 26 22 50 125 12.5 14.7  2.44  7.14  5.38 167 1012.1  25.2  25.6  23.3 99.0 99.00
2012 05 26 23 50 124 11.9 13.6  2.44  7.69  5.42 158 1012.8  25.1  25.5  23.4 99.0 99.00
2012 05 27 00 50 126 11.5 13.7  2.47  6.67  5.38 166 1013.2  25.1  25.5  23.3 99.0 99.00
2012 05 27 01 50 131 11.5 13.9  2.57  7.14  5.50 172 1014.4  25.1  25.5  23.1 99.0 99.00
2012 05 27 02 50 127 10.0 12.3  2.40  7.14  5.47 149 1015.1  25.1  25.3  23.2 99.0 99.00
2012 05 27 03 50 135 10.1 12.2  2.33  7.14  5.44 183 1015.6  25.0  25.3  23.3 99.0 99.00
2012 05 27 04 50 136  9.4 11.7  2.30  6.67  5.59 160 1015.8  25.0  25.1  23.4 99.0 99.00
2012 05 27 05 50 123  9.7 11.2  2.26  6.25  5.67 145 1015.7  24.8  24.9  23.1 99.0 99.00
